"Symbol","ML Alpha","Strat Avg","Ranking","Rec","Close Price","Close Slope","MACD Hist","MACD Slope","MACD Rel","RSI","RSI Slope","WillyAlgo Indicator","CAN SLIM","FCF Yield","GARP","Low-Vol/Quality","Pure Growth/Value","Fundamental/Technical","Sentiment/Quant","Earnings Momentum","Dividend Value"
"AVGO","37.8","64.9","7","Hold","371.55","+","6.74","3.37","-9.55","75.46","9.76","100.0","100.0","50.0","0.0","66.0","33.0","50.0","50.0","100.0","100.0"
"GOOG","42.3","80.7","6","Sell","315.72","-","4.00","1.27","-1.29","61.81","4.99","100.0","75.0","50.0","100.0","66.0","66.0","100.0","50.0","100.0","100.0"
"META","59.5","60.7","7","Hold","629.86","+","8.58","3.99","-0.53","58.65","3.74","100.0","0.0","50.0","0.0","66.0","66.0","75.0","50.0","100.0","100.0"
"MSFT","69.3","69.1","6","Sell","370.87","-","1.46","0.40","-0.15","39.49","3.41","100.0","50.0","0.0","100.0","100.0","66.0","75.0","0.0","100.0","100.0"
"MU","56.1","80.7","6","Sell","420.59","-","4.92","2.99","-0.82","49.49","4.42","100.0","75.0","50.0","100.0","66.0","66.0","100.0","50.0","100.0","100.0"
"NVDA","41.4","67.4","7","Hold","188.63","+","1.79","0.91","-1.08","68.17","12.22","100.0","75.0","50.0","100.0","66.0","33.0","100.0","0.0","100.0","50.0"
"PLTR","64.0","57.4","4","Sell","128.06","-","-2.24","-1.16","1.87","33.70","1.20","0.0","100.0","50.0","100.0","66.0","33.0","25.0","100.0","100.0","0.0"
"RTX","38.1","54.9","6","Sell","201.56","-","0.97","0.30","-0.87","55.27","1.57","100.0","25.0","50.0","0.0","66.0","33.0","75.0","0.0","100.0","100.0"
"SATS","36.9","32.5","6","Hold","128.59","+","1.18","0.48","0.49","66.18","5.24","100.0","50.0","50.0","0.0","0.0","0.0","75.0","50.0","0.0","0.0"
"SMCI","69.8","60.8","7","Hold","25.26","+","0.34","0.29","-0.16","67.05","34.19","100.0","50.0","0.0","100.0","33.0","100.0","75.0","50.0","100.0","0.0"
