Date,Ticker,Index_Source,Stock_Price,ATM_Strike,Implied_Volatility,1W_Call_Price,1W_Put_Price,1W_Call_Delta,1W_Put_Delta,1W_Gamma,1W_Call_Theta,1W_Put_Theta,1W_Vega,1W_Call_Rho,1W_Put_Rho,2W_Call_Price,2W_Put_Price,2W_Call_Delta,2W_Put_Delta,2W_Gamma,2W_Call_Theta,2W_Put_Theta,2W_Vega,2W_Call_Rho,2W_Put_Rho,3W_Call_Price,3W_Put_Price,3W_Call_Delta,3W_Put_Delta,3W_Gamma,3W_Call_Theta,3W_Put_Theta,3W_Vega,3W_Call_Rho,3W_Put_Rho
8/19/2026 19:52,AAPL,Dow 30 / Nasdaq 100 / S&P 500,316.83,320,0.2315,2.83,6.82,0.3956,-0.6044,0.0379,-0.2962,-0.2524,0.169,0.0235,-0.0378,5.25,8.92,0.4457,-0.5543,0.0251,-0.2414,-0.1976,0.2452,0.0522,-0.0703,6.7,9.2,0.4667,-0.5333,0.0203,-0.2046,-0.1609,0.3021,0.0812,-0.1024
8/19/2026 19:52,ABBV,S&P 500,265.97,270,0.2664,2.46,4,0.3582,-0.6418,0.0381,-0.2745,-0.2375,0.1376,0.0178,-0.0339,4.02,19.1,0.4128,-0.5872,0.0276,-0.211,-0.1741,0.2028,0.0405,-0.0628,5.28,25.35,0.4363,-0.5637,0.0234,-0.1731,-0.1363,0.2513,0.0637,-0.0912
8/19/2026 19:52,ABNB,Nasdaq 100,186.39,185,0.3482,4.79,2.7,0.579,-0.421,0.0435,-0.2652,-0.2399,0.101,0.0199,-0.0156,5.9,3.9,0.5641,-0.4359,0.0277,-0.2136,-0.1883,0.1437,0.0378,-0.033,6.9,4.5,0.5614,-0.4386,0.0215,-0.1853,-0.16,0.1762,0.0554,-0.0507
8/19/2026 19:52,ABT,S&P 500,114.43,115,0.2471,1.42,2.52,0.4601,-0.5399,0.1014,-0.118,-0.1023,0.0629,0.0098,-0.0122,2.05,6.9,0.4864,-0.5136,0.0682,-0.0905,-0.0748,0.0894,0.0205,-0.0235,2.5,7.56,0.4997,-0.5003,0.0545,-0.0769,-0.0612,0.1095,0.0313,-0.0347
8/19/2026 19:52,ACN,S&P 500,183.17,185,0.5161,5,5.03,0.4642,-0.5358,0.0303,-0.3826,-0.3573,0.1008,0.0155,-0.02,6.79,6,0.4892,-0.5108,0.0213,-0.2785,-0.2532,0.1431,0.0318,-0.0391,7.61,7.93,0.4988,-0.5012,0.0188,-0.2129,-0.1877,0.1753,0.048,-0.0581
8/19/2026 19:52,ADBE,Nasdaq 100 / S&P 500,272.47,270,0.4723,9.15,6.48,0.574,-0.426,0.022,-0.5193,-0.4824,0.1479,0.0284,-0.0234,12.17,8.33,0.5636,-0.4364,0.0144,-0.4028,-0.3659,0.2102,0.0542,-0.0492,17.26,13.25,0.5623,-0.4377,0.0109,-0.3568,-0.32,0.2575,0.079,-0.0759
8/19/2026 19:52,ADI,Nasdaq 100,373.26,370,0.4481,12.77,6.64,0.5745,-0.4255,0.0169,-0.6763,-0.6257,0.2026,0.039,-0.0319,30,10.2,0.568,-0.432,0.0128,-0.4573,-0.4067,0.2874,0.0759,-0.0658,15,12.3,0.5665,-0.4335,0.0107,-0.3716,-0.3211,0.3522,0.1119,-0.1003
8/19/2026 19:52,ADP,Nasdaq 100,277.22,280,0.3972,4.5,6.32,0.4457,-0.5543,0.0259,-0.4468,-0.4085,0.1517,0.0228,-0.0309,4.05,4.68,0.467,-0.533,0.0209,-0.2874,-0.2491,0.2159,0.0471,-0.0601,6.97,4.5,0.4823,-0.5177,0.0174,-0.2348,-0.1966,0.265,0.0722,-0.0884
8/19/2026 19:52,ADSK,Nasdaq 100,251.29,250,0.6705,12,10.3,0.5447,-0.4553,0.017,-0.6781,-0.6439,0.138,0.0243,-0.0236,16.1,8.85,0.5473,-0.4527,0.0128,-0.4544,-0.4202,0.195,0.0477,-0.048,15.05,11.7,0.5505,-0.4495,0.0118,-0.3317,-0.2975,0.2385,0.0714,-0.0721
8/19/2026 19:52,AEP,Nasdaq 100,126.27,125,0.5083,1.19,0.43,0.5763,-0.4237,0.0441,-0.258,-0.2409,0.0685,0.0131,-0.0108,1.19,0.43,0.5677,-0.4323,0.0313,-0.1855,-0.1685,0.0972,0.0253,-0.0226,3.7,1.91,0.5958,-0.4042,0.0501,-0.0811,-0.064,0.1173,0.041,-0.0307
