Date,Symbol,Quantity,Price,Total Cost,Current Close Price,Total Current Value,Cash Available
,NVDA,0.0,0.0,0.0,210.9600067138672,0.0,100000.0
,AAPL,0.0,0.0,0.0,315.32000732421875,0.0,100000.0
,GOOG,0.0,0.0,0.0,355.0299987792969,0.0,100000.0
,MSFT,0.0,0.0,0.0,385.1000061035156,0.0,100000.0
,AMZN,0.0,0.0,0.0,245.33999633789062,0.0,100000.0
,META,0.0,0.0,0.0,669.2100219726562,0.0,100000.0
,TSLA,0.0,0.0,0.0,407.760009765625,0.0,100000.0
,PLTR,0.0,0.0,0.0,126.79000091552734,0.0,100000.0
,ABBV,0.0,0.0,0.0,248.0800018310547,0.0,100000.0
,GHRS,0.0,0.0,0.0,26.510000228881836,0.0,100000.0
,ACHR,0.0,0.0,0.0,4.730000019073486,0.0,100000.0
,ADBE,0.0,0.0,0.0,223.63999938964844,0.0,100000.0
,ADI,0.0,0.0,0.0,395.6499938964844,0.0,100000.0
,ADM,0.0,0.0,0.0,80.41000366210938,0.0,100000.0
,AMD,0.0,0.0,0.0,557.8900146484375,0.0,100000.0
,ANET,0.0,0.0,0.0,186.9600067138672,0.0,100000.0
,ARKX,0.0,0.0,0.0,32.04999923706055,0.0,100000.0
,ARM,0.0,0.0,0.0,323.3900146484375,0.0,100000.0
,AVGO,0.0,0.0,0.0,399.9700012207031,0.0,100000.0
,BA,0.0,0.0,0.0,222.27999877929688,0.0,100000.0
,BKNG,0.0,0.0,0.0,178.38999938964844,0.0,100000.0
,BRK-B,0.0,0.0,0.0,493.7099914550781,0.0,100000.0
,CME,0.0,0.0,0.0,240.27000427246094,0.0,100000.0
,CNH,0.0,0.0,0.0,10.449999809265137,0.0,100000.0
,CRCL,0.0,0.0,0.0,66.13999938964844,0.0,100000.0
,CRWV,0.0,0.0,0.0,88.87999725341797,0.0,100000.0
,DKNG,0.0,0.0,0.0,26.475000381469727,0.0,100000.0
,ELV,0.0,0.0,0.0,416.2300109863281,0.0,100000.0
,FBTIX,0.0,0.0,0.0,51.279998779296875,0.0,100000.0
,FCNCA,0.0,0.0,0.0,2092.590087890625,0.0,100000.0
,FDX,0.0,0.0,0.0,314.69000244140625,0.0,100000.0
,FHEIX,0.0,0.0,0.0,15.48,0.0,100000.0
,FIFFX,0.0,0.0,0.0,20.329999923706055,0.0,100000.0
,HDB,0.0,0.0,0.0,26.510000228881836,0.0,100000.0
,HOOD,0.0,0.0,0.0,111.97000122070312,0.0,100000.0
,INTC,0.0,0.0,0.0,109.83999633789062,0.0,100000.0
,IVCGF,0.0,0.0,0.0,16.02400016784668,0.0,100000.0
,LLY,0.0,0.0,0.0,1188.5799560546875,0.0,100000.0
,LYSDY,0.0,0.0,0.0,11.600000381469727,0.0,100000.0
,MCK,0.0,0.0,0.0,805.9600219726562,0.0,100000.0
,MSTR,0.0,0.0,0.0,94.63999938964844,0.0,100000.0
,MU,0.0,0.0,0.0,979.2999877929688,0.0,100000.0
,MUSA,0.0,0.0,0.0,590.22998046875,0.0,100000.0
,NFLX,0.0,0.0,0.0,73.37000274658203,0.0,100000.0
,NI,0.0,0.0,0.0,46.900001525878906,0.0,100000.0
,NVO,0.0,0.0,0.0,49.47999954223633,0.0,100000.0
,ORCL,0.0,0.0,0.0,140.63999938964844,0.0,100000.0
,PAC,0.0,0.0,0.0,235.63999938964844,0.0,100000.0
,QCOM,0.0,0.0,0.0,189.16000366210938,0.0,100000.0
,RICK,0.0,0.0,0.0,26.719999313354492,0.0,100000.0
,SMCI,0.0,0.0,0.0,28.309999465942383,0.0,100000.0
,SOXX,0.0,0.0,0.0,581.3400268554688,0.0,100000.0
,TIC,0.0,0.0,0.0,7.53000020980835,0.0,100000.0
,TTD,0.0,0.0,0.0,19.530000686645508,0.0,100000.0
,TXN,0.0,0.0,0.0,311.4599914550781,0.0,100000.0
,UTHR,0.0,0.0,0.0,547.0599975585938,0.0,100000.0
,VRTX,0.0,0.0,0.0,485.3900146484375,0.0,100000.0
,KTOS,0.0,0.0,0.0,48.189998626708984,0.0,100000.0
